UUID,NAME,CLASS,SIZE,BLADE SPEED,CHIP REMOVAL RATE,FORCE
,D2 - 2 In,Tool Steel,2,75,3,700
,D2 - 4 In,Tool Steel,4,75,3,700
,D2 - 6 In,Tool Steel,6,75,3,700
,D2 - 8 In,Tool Steel,8,75,3,700
,D2 - 10 In,Tool Steel,10,75,3,700
,D2 - 12 In,Tool Steel,12,75,3,700
,D2 - 16 In,Tool Steel,16,75,3,700
,D2 - 20 In,Tool Steel,20,75,3,700
,A2 - 2 In,Tool Steel,2,101,5.4,700
,A2 - 4 In,Tool Steel,4,101,5.4,700
,A2 - 6 In,Tool Steel,6,101,5.4,700
,A2 - 8 In,Tool Steel,8,101,5.4,700
,A2 - 10 In,Tool Steel,10,101,5.4,700
,A2 - 12 In,Tool Steel,12,101,5.4,700
,A2 - 16 In,Tool Steel,16,101,5.4,700
,A2 - 20 In,Tool Steel,20,101,5.4,700
,A6 - 2 In,Tool Steel,2,101,5.4,700
,A6 - 4 In,Tool Steel,4,101,5.4,700
,A6 - 6 In,Tool Steel,6,101,5.4,700
,A6 - 8 In,Tool Steel,8,101,5.4,700
,A6 - 10 In,Tool Steel,10,101,5.4,700
,A6 - 12 In,Tool Steel,12,101,5.4,700
,A6 - 16 In,Tool Steel,16,101,5.4,700
,A6 - 20 In,Tool Steel,20,101,5.4,700
,A10 - 2 In,Tool Steel,2,101,5.4,700
,A10 - 4 In,Tool Steel,4,101,5.4,700
,A10 - 6 In,Tool Steel,6,101,5.4,700
,A10 - 8 In,Tool Steel,8,101,5.4,700
,A10 - 10 In,Tool Steel,10,101,5.4,700
,A10 - 12 In,Tool Steel,12,101,5.4,700
,A10 - 16 In,Tool Steel,16,101,5.4,700
,A10 - 20 In,Tool Steel,20,101,5.4,700
,H13 - 2 In,Tool Steel,2,101,5.4,700
,H13 - 4 In,Tool Steel,4,101,5.4,700
,H13 - 6 In,Tool Steel,6,101,5.4,700
,H13 - 8 In,Tool Steel,8,101,5.4,700
,H13 - 10 In,Tool Steel,10,101,5.4,700
,H13 - 12 In,Tool Steel,12,101,5.4,700
,H13 - 16 In,Tool Steel,16,101,5.4,700
,H13 - 20 In,Tool Steel,20,101,5.4,700
,H25 - 2 In,Tool Steel,2,81,3.8,825
,H25 - 4 In,Tool Steel,4,81,3.8,825
,H25 - 6 In,Tool Steel,6,81,3.8,825
,H25 - 8 In,Tool Steel,8,81,3.8,825
,H25 - 10 In,Tool Steel,10,81,3.8,825
,H25 - 12 In,Tool Steel,12,81,3.8,825
,H25 - 16 In,Tool Steel,16,81,3.8,825
,H25 - 20 In,Tool Steel,20,81,3.8,825
,O1 - 2 In,Tool Steel,2,101,5.4,700
,O1 - 4 In,Tool Steel,4,101,5.4,700
,O1 - 6 In,Tool Steel,6,101,5.4,700
,O1 - 8 In,Tool Steel,8,101,5.4,700
,O1 - 10 In,Tool Steel,10,101,5.4,700
,O1 - 12 In,Tool Steel,12,101,5.4,700
,O1 - 16 In,Tool Steel,16,101,5.4,700
,O1 - 20 In,Tool Steel,20,101,5.4,700
,O2 - 2 In,Tool Steel,2,101,5.4,700
,O2 - 4 In,Tool Steel,4,101,5.4,700
,O2 - 6 In,Tool Steel,6,101,5.4,700
,O2 - 8 In,Tool Steel,8,101,5.4,700
,O2 - 10 In,Tool Steel,10,101,5.4,700
,O2 - 12 In,Tool Steel,12,101,5.4,700
,O2 - 16 In,Tool Steel,16,101,5.4,700
,O2 - 20 In,Tool Steel,20,101,5.4,700
,M2 - 2 In,Tool Steel,2,81,3.8,825
,M2 - 4 In,Tool Steel,4,81,3.8,825
,M2 - 6 In,Tool Steel,6,81,3.8,825
,M2 - 8 In,Tool Steel,8,81,3.8,825
,M2 - 10 In,Tool Steel,10,81,3.8,825
,M2 - 12 In,Tool Steel,12,81,3.8,825
,M2 - 16 In,Tool Steel,16,81,3.8,825
,M2 - 20 In,Tool Steel,20,81,3.8,825
,M4 - 2 In,Tool Steel,2,81,3.8,825
,M4 - 4 In,Tool Steel,4,81,3.8,825
,M4 - 6 In,Tool Steel,6,81,3.8,825
,M4 - 8 In,Tool Steel,8,81,3.8,825
,M4 - 10 In,Tool Steel,10,81,3.8,825
,M4 - 12 In,Tool Steel,12,81,3.8,825
,M4 - 16 In,Tool Steel,16,81,3.8,825
,M4 - 20 In,Tool Steel,20,81,3.8,825
,M10 - 2 In,Tool Steel,2,81,3.8,825
,M10 - 4 In,Tool Steel,4,81,3.8,825
,M10 - 6 In,Tool Steel,6,81,3.8,825
,M10 - 8 In,Tool Steel,8,81,3.8,825
,M10 - 10 In,Tool Steel,10,81,3.8,825
,M10 - 12 In,Tool Steel,12,81,3.8,825
,M10 - 16 In,Tool Steel,16,81,3.8,825
,M10 - 20 In,Tool Steel,20,81,3.8,825
,M42 - 2 In,Tool Steel,2,81,3.8,825
,M42 - 4 In,Tool Steel,4,81,3.8,825
,M42 - 6 In,Tool Steel,6,81,3.8,825
,M42 - 8 In,Tool Steel,8,81,3.8,825
,M42 - 10 In,Tool Steel,10,81,3.8,825
,M42 - 12 In,Tool Steel,12,81,3.8,825
,M42 - 16 In,Tool Steel,16,81,3.8,825
,M42 - 20 In,Tool Steel,20,81,3.8,825
,T1 - 2 In,Tool Steel,2,71,2.8,880
,T1 - 4 In,Tool Steel,4,71,2.8,880
,T1 - 6 In,Tool Steel,6,71,2.8,880
,T1 - 8 In,Tool Steel,8,71,2.8,880
,T1 - 10 In,Tool Steel,10,71,2.8,880
,T1 - 12 In,Tool Steel,12,71,2.8,880
,T1 - 16 In,Tool Steel,16,71,2.8,880
,T1 - 20 In,Tool Steel,20,71,2.8,880
,T15 - 2 In,Tool Steel,2,71,2.8,880
,T15 - 4 In,Tool Steel,4,71,2.8,880
,T15 - 6 In,Tool Steel,6,71,2.8,880
,T15 - 8 In,Tool Steel,8,71,2.8,880
,T15 - 10 In,Tool Steel,10,71,2.8,880
,T15 - 12 In,Tool Steel,12,71,2.8,880
,T15 - 16 In,Tool Steel,16,71,2.8,880
,T15 - 20 In,Tool Steel,20,71,2.8,880
,P3 - 2 In,Tool Steel,2,101,5.4,675
,P3 - 4 In,Tool Steel,4,101,5.4,675
,P3 - 6 In,Tool Steel,6,101,5.4,675
,P3 - 8 In,Tool Steel,8,101,5.4,675
,P3 - 10 In,Tool Steel,10,101,5.4,675
,P3 - 12 In,Tool Steel,12,101,5.4,675
,P3 - 16 In,Tool Steel,16,101,5.4,675
,P3 - 20 In,Tool Steel,20,101,5.4,675
,P20 - 2 In,Tool Steel,2,101,5.4,675
,P20 - 4 In,Tool Steel,4,101,5.4,675
,P20 - 6 In,Tool Steel,6,101,5.4,675
,P20 - 8 In,Tool Steel,8,101,5.4,675
,P20 - 10 In,Tool Steel,10,101,5.4,675
,P20 - 12 In,Tool Steel,12,101,5.4,675
,P20 - 16 In,Tool Steel,16,101,5.4,675
,P20 - 20 In,Tool Steel,20,101,5.4,675
,S1 - 2 In,Tool Steel,2,81,3.8,750
,S1 - 4 In,Tool Steel,4,81,3.8,750
,S1 - 6 In,Tool Steel,6,81,3.8,750
,S1 - 8 In,Tool Steel,8,81,3.8,750
,S1 - 10 In,Tool Steel,10,81,3.8,750
,S1 - 12 In,Tool Steel,12,81,3.8,750
,S1 - 16 In,Tool Steel,16,81,3.8,750
,S1 - 20 In,Tool Steel,20,81,3.8,750
,S5 - 2 In,Tool Steel,2,81,3.8,750
,S5 - 4 In,Tool Steel,4,81,3.8,750
,S5 - 6 In,Tool Steel,6,81,3.8,750
,S5 - 8 In,Tool Steel,8,81,3.8,750
,S5 - 10 In,Tool Steel,10,81,3.8,750
,S5 - 12 In,Tool Steel,12,81,3.8,750
,S5 - 16 In,Tool Steel,16,81,3.8,750
,S5 - 20 In,Tool Steel,20,81,3.8,750
,S7 - 2 In,Tool Steel,2,81,3.8,750
,S7 - 4 In,Tool Steel,4,81,3.8,750
,S7 - 6 In,Tool Steel,6,81,3.8,750
,S7 - 8 In,Tool Steel,8,81,3.8,750
,S7 - 10 In,Tool Steel,10,81,3.8,750
,S7 - 12 In,Tool Steel,12,81,3.8,750
,S7 - 16 In,Tool Steel,16,81,3.8,750
,S7 - 20 In,Tool Steel,20,81,3.8,750
,418 SS - 1 In,Stainless Steel,1,150,5,500
,418 SS - 2 In,Stainless Steel,2,150,5,500
,418 SS - 3 In,Stainless Steel,3,150,5,500
,418 SS - 4 In,Stainless Steel,4,150,5,500
,418 SS - 5 In,Stainless Steel,5,150,5,500
,418 SS - 6 In,Stainless Steel,6,150,5,500
,418 SS - 7 In,Stainless Steel,7,150,3,500
,418 SS - 8 In,Stainless Steel,8,150,3,500
,418 SS - 9 In,Stainless Steel,9,150,3,500
,418 SS - 10 In,Stainless Steel,10,130,3,500
,418 SS - 11 In,Stainless Steel,11,130,3,500
,418 SS - 12 In,Stainless Steel,12,130,3,500
,418 SS - 13 In,Stainless Steel,13,130,3,500
,418 SS - 14 In,Stainless Steel,14,120,3,500
,418 SS - 15 In,Stainless Steel,15,120,3,500
,418 SS - 16 In,Stainless Steel,16,120,3,500
,418 SS - 17 In,Stainless Steel,17,120,3,500
,418 SS - 18 In,Stainless Steel,18,120,3,500
,418 SS - 19 In,Stainless Steel,19,110,3,500
,418 SS - 20 In,Stainless Steel,20,110,3,500
,Alloy 13-8 - 1 In,Alloy Steel,1,120,3.5,500
,Alloy 13-8 - 2 In,Alloy Steel,2,120,3.5,500
,Alloy 13-8 - 3 In,Alloy Steel,3,110,3.5,500
,Alloy 13-8 - 4 In,Alloy Steel,4,110,3.5,500
,Alloy 13-8 - 5 In,Alloy Steel,5,110,3.5,500
,Alloy 13-8 - 6 In,Alloy Steel,6,110,3.5,500
,Alloy 13-8 - 7 In,Alloy Steel,7,110,3.5,500
,Alloy 13-8 - 8 In,Alloy Steel,8,110,3.5,500
,Alloy 13-8 - 9 In,Alloy Steel,9,110,3.5,500
,Alloy 13-8 - 10 In,Alloy Steel,10,110,3,500
,Alloy 13-8 - 11 In,Alloy Steel,11,110,3,500
,Alloy 13-8 - 12 In,Alloy Steel,12,110,3,500
,Alloy 13-8 - 13 In,Alloy Steel,13,110,3,500
,Alloy 13-8 - 14 In,Alloy Steel,14,110,3,500
,Alloy 13-8 - 15 In,Alloy Steel,15,110,3,500
,Alloy 13-8 - 16 In,Alloy Steel,16,110,3,500
,Alloy 13-8 - 17 In,Alloy Steel,17,110,3,500
,Alloy 13-8 - 18 In,Alloy Steel,18,110,3,500
,Alloy 13-8 - 19 In,Alloy Steel,19,100,2.5,500
,Alloy 13-8 - 20 In,Alloy Steel,20,100,2.5,500
,Alloy 15-7 - 1 In,Alloy Steel,1,120,3.5,500
,Alloy 15-7 - 2 In,Alloy Steel,2,120,3.5,500
,Alloy 15-7 - 3 In,Alloy Steel,3,110,3.5,500
,Alloy 15-7 - 4 In,Alloy Steel,4,110,3.5,500
,Alloy 15-7 - 5 In,Alloy Steel,5,110,3.5,500
,Alloy 15-7 - 6 In,Alloy Steel,6,110,3.5,500
,Alloy 15-7 - 7 In,Alloy Steel,7,110,3.5,500
,Alloy 15-7 - 8 In,Alloy Steel,8,110,3.5,500
,Alloy 15-7 - 9 In,Alloy Steel,9,110,3.5,500
,Alloy 15-7 - 10 In,Alloy Steel,10,110,3,500
,Alloy 15-7 - 11 In,Alloy Steel,11,110,3,500
,Alloy 15-7 - 12 In,Alloy Steel,12,110,3,500
,Alloy 15-7 - 13 In,Alloy Steel,13,110,3,500
,Alloy 15-7 - 14 In,Alloy Steel,14,110,3,500
,Alloy 15-7 - 15 In,Alloy Steel,15,110,3,500
,Alloy 15-7 - 16 In,Alloy Steel,16,110,3,500
,Alloy 15-7 - 17 In,Alloy Steel,17,110,3,500
,Alloy 15-7 - 18 In,Alloy Steel,18,110,3,500
,Alloy 15-7 - 19 In,Alloy Steel,19,100,2.5,500
,Alloy 15-7 - 20 In,Alloy Steel,20,100,2.5,500
,Alloy 188 - 1 In,Alloy Steel,1,100,3,500
,Alloy 188 - 2 In,Alloy Steel,2,100,3,500
,Alloy 188 - 3 In,Alloy Steel,3,90,3,500
,Alloy 188 - 4 In,Alloy Steel,4,90,3,500
,Alloy 188 - 5 In,Alloy Steel,5,90,3,500
,Alloy 188 - 6 In,Alloy Steel,6,90,3,500
,Alloy 188 - 7 In,Alloy Steel,7,80,2,500
,Alloy 188 - 8 In,Alloy Steel,8,80,2,500
,Alloy 188 - 9 In,Alloy Steel,9,80,2,500
,Alloy 188 - 10 In,Alloy Steel,10,80,2,500
,Alloy 188 - 11 In,Alloy Steel,11,80,2,500
,Alloy 188 - 12 In,Alloy Steel,12,80,2,500
,Alloy 188 - 13 In,Alloy Steel,13,80,2,500
,Alloy 188 - 14 In,Alloy Steel,14,80,2,500
,Alloy 188 - 15 In,Alloy Steel,15,80,2,500
,Alloy 188 - 16 In,Alloy Steel,16,80,2,500
,Alloy 188 - 17 In,Alloy Steel,17,80,2,500
,Alloy 188 - 18 In,Alloy Steel,18,80,2,500
,Alloy 188 - 19 In,Alloy Steel,19,80,2,500
,Alloy 188 - 20 In,Alloy Steel,20,80,2,500
,Alloy 20 - 1 In,Alloy Steel,1,100,3,500
,Alloy 20 - 2 In,Alloy Steel,2,100,3,500
,Alloy 20 - 3 In,Alloy Steel,3,90,3,500
,Alloy 20 - 4 In,Alloy Steel,4,90,3,500
,Alloy 20 - 5 In,Alloy Steel,5,90,3,500
,Alloy 20 - 6 In,Alloy Steel,6,90,3,500
,Alloy 20 - 7 In,Alloy Steel,7,80,2,500
,Alloy 20 - 8 In,Alloy Steel,8,80,2,500
,Alloy 20 - 9 In,Alloy Steel,9,80,2,500
,Alloy 20 - 10 In,Alloy Steel,10,80,2,500
,Alloy 20 - 11 In,Alloy Steel,11,80,2,500
,Alloy 20 - 12 In,Alloy Steel,12,80,2,500
,Alloy 20 - 13 In,Alloy Steel,13,80,2,500
,Alloy 20 - 14 In,Alloy Steel,14,80,2,500
,Alloy 20 - 15 In,Alloy Steel,15,80,2,500
,Alloy 20 - 16 In,Alloy Steel,16,80,2,500
,Alloy 20 - 17 In,Alloy Steel,17,80,2,500
,Alloy 20 - 18 In,Alloy Steel,18,80,2,500
,Alloy 20 - 19 In,Alloy Steel,19,80,2,500
,Alloy 20 - 20 In,Alloy Steel,20,80,2,500
,Alloy 21-6-9 - 1 In,Alloy Steel,1,100,3,500
,Alloy 21-6-9 - 2 In,Alloy Steel,2,100,3,500
,Alloy 21-6-9 - 3 In,Alloy Steel,3,90,3,500
,Alloy 21-6-9 - 4 In,Alloy Steel,4,90,3,500
,Alloy 21-6-9 - 5 In,Alloy Steel,5,90,3,500
,Alloy 21-6-9 - 6 In,Alloy Steel,6,90,3,500
,Alloy 21-6-9 - 7 In,Alloy Steel,7,80,2,500
,Alloy 21-6-9 - 8 In,Alloy Steel,8,80,2,500
,Alloy 21-6-9 - 9 In,Alloy Steel,9,80,2,500
,Alloy 21-6-9 - 10 In,Alloy Steel,10,80,2,500
,Alloy 21-6-9 - 11 In,Alloy Steel,11,80,2,500
,Alloy 21-6-9 - 12 In,Alloy Steel,12,80,2,500
,Alloy 21-6-9 - 13 In,Alloy Steel,13,80,2,500
,Alloy 21-6-9 - 14 In,Alloy Steel,14,80,2,500
,Alloy 21-6-9 - 15 In,Alloy Steel,15,80,2,500
,Alloy 21-6-9 - 16 In,Alloy Steel,16,80,2,500
,Alloy 21-6-9 - 17 In,Alloy Steel,17,80,2,500
,Alloy 21-6-9 - 18 In,Alloy Steel,18,80,2,500
,Alloy 21-6-9 - 19 In,Alloy Steel,19,80,2,500
,Alloy 21-6-9 - 20 In,Alloy Steel,20,80,2,500
,Alloy 230 - 1 In,Alloy Steel,1,100,3,500
,Alloy 230 - 2 In,Alloy Steel,2,100,3,500
,Alloy 230 - 3 In,Alloy Steel,3,90,3,500
,Alloy 230 - 4 In,Alloy Steel,4,90,3,500
,Alloy 230 - 5 In,Alloy Steel,5,90,3,500
,Alloy 230 - 6 In,Alloy Steel,6,90,3,500
,Alloy 230 - 7 In,Alloy Steel,7,80,2,500
,Alloy 230 - 8 In,Alloy Steel,8,80,2,500
,Alloy 230 - 9 In,Alloy Steel,9,80,2,500
,Alloy 230 - 10 In,Alloy Steel,10,80,2,500
,Alloy 230 - 11 In,Alloy Steel,11,80,2,500
,Alloy 230 - 12 In,Alloy Steel,12,80,2,500
,Alloy 230 - 13 In,Alloy Steel,13,80,2,500
,Alloy 230 - 14 In,Alloy Steel,14,80,2,500
,Alloy 230 - 15 In,Alloy Steel,15,80,2,500
,Alloy 230 - 16 In,Alloy Steel,16,80,2,500
,Alloy 230 - 17 In,Alloy Steel,17,80,2,500
,Alloy 230 - 18 In,Alloy Steel,18,80,2,500
,Alloy 230 - 19 In,Alloy Steel,19,80,2,500
,Alloy 230 - 20 In,Alloy Steel,20,80,2,500
,Alloy 263 - 1 In,Alloy Steel,1,100,3,500
,Alloy 263 - 2 In,Alloy Steel,2,100,3,500
,Alloy 263 - 3 In,Alloy Steel,3,90,3,500
,Alloy 263 - 4 In,Alloy Steel,4,90,3,500
,Alloy 263 - 5 In,Alloy Steel,5,90,3,500
,Alloy 263 - 6 In,Alloy Steel,6,90,3,500
,Alloy 263 - 7 In,Alloy Steel,7,80,2,500
,Alloy 263 - 8 In,Alloy Steel,8,80,2,500
,Alloy 263 - 9 In,Alloy Steel,9,80,2,500
,Alloy 263 - 10 In,Alloy Steel,10,80,2,500
,Alloy 263 - 11 In,Alloy Steel,11,80,2,500
,Alloy 263 - 12 In,Alloy Steel,12,80,2,500
,Alloy 263 - 13 In,Alloy Steel,13,80,2,500
,Alloy 263 - 14 In,Alloy Steel,14,80,2,500
,Alloy 263 - 15 In,Alloy Steel,15,80,2,500
,Alloy 263 - 16 In,Alloy Steel,16,80,2,500
,Alloy 263 - 17 In,Alloy Steel,17,80,2,500
,Alloy 263 - 18 In,Alloy Steel,18,80,2,500
,Alloy 263 - 19 In,Alloy Steel,19,80,2,500
,Alloy 263 - 20 In,Alloy Steel,20,80,2,500
,Alloy 330 - 1 In,Alloy Steel,1,100,3,500
,Alloy 330 - 2 In,Alloy Steel,2,100,3,500
,Alloy 330 - 3 In,Alloy Steel,3,90,3,500
,Alloy 330 - 4 In,Alloy Steel,4,90,3,500
,Alloy 330 - 5 In,Alloy Steel,5,90,3,500
,Alloy 330 - 6 In,Alloy Steel,6,90,3,500
,Alloy 330 - 7 In,Alloy Steel,7,80,2,500
,Alloy 330 - 8 In,Alloy Steel,8,80,2,500
,Alloy 330 - 9 In,Alloy Steel,9,80,2,500
,Alloy 330 - 10 In,Alloy Steel,10,80,2,500
,Alloy 330 - 11 In,Alloy Steel,11,80,2,500
,Alloy 330 - 12 In,Alloy Steel,12,80,2,500
,Alloy 330 - 13 In,Alloy Steel,13,80,2,500
,Alloy 330 - 14 In,Alloy Steel,14,80,2,500
,Alloy 330 - 15 In,Alloy Steel,15,80,2,500
,Alloy 330 - 16 In,Alloy Steel,16,80,2,500
,Alloy 330 - 17 In,Alloy Steel,17,80,2,500
,Alloy 330 - 18 In,Alloy Steel,18,80,2,500
,Alloy 330 - 19 In,Alloy Steel,19,80,2,500
,Alloy 330 - 20 In,Alloy Steel,20,80,2,500
,Alloy 60 - 1 In,Alloy Steel,1,100,3,500
,Alloy 60 - 2 In,Alloy Steel,2,100,3,500
,Alloy 60 - 3 In,Alloy Steel,3,90,3,500
,Alloy 60 - 4 In,Alloy Steel,4,90,3,500
,Alloy 60 - 5 In,Alloy Steel,5,90,3,500
,Alloy 60 - 6 In,Alloy Steel,6,90,3,500
,Alloy 60 - 7 In,Alloy Steel,7,80,2,500
,Alloy 60 - 8 In,Alloy Steel,8,80,2,500
,Alloy 60 - 9 In,Alloy Steel,9,80,2,500
,Alloy 60 - 10 In,Alloy Steel,10,80,2,500
,Alloy 60 - 11 In,Alloy Steel,11,80,2,500
,Alloy 60 - 12 In,Alloy Steel,12,80,2,500
,Alloy 60 - 13 In,Alloy Steel,13,80,2,500
,Alloy 60 - 14 In,Alloy Steel,14,80,2,500
,Alloy 60 - 15 In,Alloy Steel,15,80,2,500
,Alloy 60 - 16 In,Alloy Steel,16,80,2,500
,Alloy 60 - 17 In,Alloy Steel,17,80,2,500
,Alloy 60 - 18 In,Alloy Steel,18,80,2,500
,Alloy 60 - 19 In,Alloy Steel,19,80,2,500
,Alloy 60 - 20 In,Alloy Steel,20,80,2,500
,Alloy 600 - 1 In,Alloy Steel,1,120,3.5,500
,Alloy 600 - 2 In,Alloy Steel,2,120,3.5,500
,Alloy 600 - 3 In,Alloy Steel,3,110,3.5,500
,Alloy 600 - 4 In,Alloy Steel,4,110,3.5,500
,Alloy 600 - 5 In,Alloy Steel,5,110,3.5,500
,Alloy 600 - 6 In,Alloy Steel,6,110,3.5,500
,Alloy 600 - 7 In,Alloy Steel,7,110,3.5,500
,Alloy 600 - 8 In,Alloy Steel,8,110,3.5,500
,Alloy 600 - 9 In,Alloy Steel,9,110,3.5,500
,Alloy 600 - 10 In,Alloy Steel,10,110,3,500
,Alloy 600 - 11 In,Alloy Steel,11,110,3,500
,Alloy 600 - 12 In,Alloy Steel,12,110,3,500
,Alloy 600 - 13 In,Alloy Steel,13,110,3,500
,Alloy 600 - 14 In,Alloy Steel,14,110,3,500
,Alloy 600 - 15 In,Alloy Steel,15,110,3,500
,Alloy 600 - 16 In,Alloy Steel,16,110,3,500
,Alloy 600 - 17 In,Alloy Steel,17,110,3,500
,Alloy 600 - 18 In,Alloy Steel,18,110,3,500
,Alloy 600 - 19 In,Alloy Steel,19,100,2.5,500
,Alloy 600 - 20 In,Alloy Steel,20,100,2.5,500
,Alloy 601 - 1 In,Alloy Steel,1,120,3.5,500
,Alloy 601 - 2 In,Alloy Steel,2,120,3.5,500
,Alloy 601 - 3 In,Alloy Steel,3,110,3.5,500
,Alloy 601 - 4 In,Alloy Steel,4,110,3.5,500
,Alloy 601 - 5 In,Alloy Steel,5,110,3.5,500
,Alloy 601 - 6 In,Alloy Steel,6,110,3.5,500
,Alloy 601 - 7 In,Alloy Steel,7,110,3.5,500
,Alloy 601 - 8 In,Alloy Steel,8,110,3.5,500
,Alloy 601 - 9 In,Alloy Steel,9,110,3.5,500
,Alloy 601 - 10 In,Alloy Steel,10,110,3,500
,Alloy 601 - 11 In,Alloy Steel,11,110,3,500
,Alloy 601 - 12 In,Alloy Steel,12,110,3,500
,Alloy 601 - 13 In,Alloy Steel,13,110,3,500
,Alloy 601 - 14 In,Alloy Steel,14,110,3,500
,Alloy 601 - 15 In,Alloy Steel,15,110,3,500
,Alloy 601 - 16 In,Alloy Steel,16,110,3,500
,Alloy 601 - 17 In,Alloy Steel,17,110,3,500
,Alloy 601 - 18 In,Alloy Steel,18,110,3,500
,Alloy 601 - 19 In,Alloy Steel,19,100,2.5,500
,Alloy 601 - 20 In,Alloy Steel,20,100,2.5,500
,Alloy 617 - 1 In,Alloy Steel,1,120,3.5,500
,Alloy 617 - 2 In,Alloy Steel,2,120,3.5,500
,Alloy 617 - 3 In,Alloy Steel,3,110,3.5,500
,Alloy 617 - 4 In,Alloy Steel,4,110,3.5,500
,Alloy 617 - 5 In,Alloy Steel,5,110,3.5,500
,Alloy 617 - 6 In,Alloy Steel,6,110,3.5,500
,Alloy 617 - 7 In,Alloy Steel,7,110,3.5,500
,Alloy 617 - 8 In,Alloy Steel,8,110,3.5,500
,Alloy 617 - 9 In,Alloy Steel,9,110,3.5,500
,Alloy 617 - 10 In,Alloy Steel,10,110,3,500
,Alloy 617 - 11 In,Alloy Steel,11,110,3,500
,Alloy 617 - 12 In,Alloy Steel,12,110,3,500
,Alloy 617 - 13 In,Alloy Steel,13,110,3,500
,Alloy 617 - 14 In,Alloy Steel,14,110,3,500
,Alloy 617 - 15 In,Alloy Steel,15,110,3,500
,Alloy 617 - 16 In,Alloy Steel,16,110,3,500
,Alloy 617 - 17 In,Alloy Steel,17,110,3,500
,Alloy 617 - 18 In,Alloy Steel,18,110,3,500
,Alloy 617 - 19 In,Alloy Steel,19,100,2.5,500
,Alloy 617 - 20 In,Alloy Steel,20,100,2.5,500
,Alloy 625 - 1 In,Alloy Steel,1,120,3.5,500
,Alloy 625 - 2 In,Alloy Steel,2,120,3.5,500
,Alloy 625 - 3 In,Alloy Steel,3,110,3.5,500
,Alloy 625 - 4 In,Alloy Steel,4,110,3.5,500
,Alloy 625 - 5 In,Alloy Steel,5,110,3.5,500
,Alloy 625 - 6 In,Alloy Steel,6,110,3.5,500
,Alloy 625 - 7 In,Alloy Steel,7,110,3.5,500
,Alloy 625 - 8 In,Alloy Steel,8,110,3.5,500
,Alloy 625 - 9 In,Alloy Steel,9,110,3.5,500
,Alloy 625 - 10 In,Alloy Steel,10,110,3,500
,Alloy 625 - 11 In,Alloy Steel,11,110,3,500
,Alloy 625 - 12 In,Alloy Steel,12,110,3,500
,Alloy 625 - 13 In,Alloy Steel,13,110,3,500
,Alloy 625 - 14 In,Alloy Steel,14,110,3,500
,Alloy 625 - 15 In,Alloy Steel,15,110,3,500
,Alloy 625 - 16 In,Alloy Steel,16,110,3,500
,Alloy 625 - 17 In,Alloy Steel,17,110,3,500
,Alloy 625 - 18 In,Alloy Steel,18,110,3,500
,Alloy 625 - 19 In,Alloy Steel,19,100,2.5,500
,Alloy 625 - 20 In,Alloy Steel,20,100,2.5,500
,Alloy 6B - 1 In,Alloy Steel,1,120,3.5,500
,Alloy 6B - 2 In,Alloy Steel,2,120,3.5,500
,Alloy 6B - 3 In,Alloy Steel,3,110,3.5,500
,Alloy 6B - 4 In,Alloy Steel,4,110,3.5,500
,Alloy 6B - 5 In,Alloy Steel,5,110,3.5,500
,Alloy 6B - 6 In,Alloy Steel,6,110,3.5,500
,Alloy 6B - 7 In,Alloy Steel,7,110,3.5,500
,Alloy 6B - 8 In,Alloy Steel,8,110,3.5,500
,Alloy 6B - 9 In,Alloy Steel,9,110,3.5,500
,Alloy 6B - 10 In,Alloy Steel,10,110,3,500
,Alloy 6B - 11 In,Alloy Steel,11,110,3,500
,Alloy 6B - 12 In,Alloy Steel,12,110,3,500
,Alloy 6B - 13 In,Alloy Steel,13,110,3,500
,Alloy 6B - 14 In,Alloy Steel,14,110,3,500
,Alloy 6B - 15 In,Alloy Steel,15,110,3,500
,Alloy 6B - 16 In,Alloy Steel,16,110,3,500
,Alloy 6B - 17 In,Alloy Steel,17,110,3,500
,Alloy 6B - 18 In,Alloy Steel,18,110,3,500
,Alloy 6B - 19 In,Alloy Steel,19,100,2.5,500
,Alloy 6B - 20 In,Alloy Steel,20,100,2.5,500
,Alloy 718 - 1 In,Alloy Steel,1,120,3.5,500
,Alloy 718 - 2 In,Alloy Steel,2,120,3.5,500
,Alloy 718 - 3 In,Alloy Steel,3,110,3.5,500
,Alloy 718 - 4 In,Alloy Steel,4,110,3.5,500
,Alloy 718 - 5 In,Alloy Steel,5,110,3.5,500
,Alloy 718 - 6 In,Alloy Steel,6,110,3.5,500
,Alloy 718 - 7 In,Alloy Steel,7,110,3.5,500
,Alloy 718 - 8 In,Alloy Steel,8,110,3.5,500
,Alloy 718 - 9 In,Alloy Steel,9,110,3.5,500
,Alloy 718 - 10 In,Alloy Steel,10,110,3,500
,Alloy 718 - 11 In,Alloy Steel,11,110,3,500
,Alloy 718 - 12 In,Alloy Steel,12,110,3,500
,Alloy 718 - 13 In,Alloy Steel,13,110,3,500
,Alloy 718 - 14 In,Alloy Steel,14,110,3,500
,Alloy 718 - 15 In,Alloy Steel,15,110,3,500
,Alloy 718 - 16 In,Alloy Steel,16,110,3,500
,Alloy 718 - 17 In,Alloy Steel,17,110,3,500
,Alloy 718 - 18 In,Alloy Steel,18,110,3,500
,Alloy 718 - 19 In,Alloy Steel,19,100,2.5,500
